video_id,comments
3Xfgg4o6wqg,"['Yooo!aidagguui baisan aigaad haychiy ym!!!!!!!!!!!!!!', 'yoo uhlee😂😂', 'Please chapter 2', 'Amjilt mundag baila😊😅😅', 'FNAF togluulmaar sanagdav🤣', 'Poppy playtime 2 toglooroi', 'Goy2 hha', 'lovu', 'Amjilt']"
AmMAro1JS00,"['bi idy', 'Ergvsda', '0:12  hawriin sindrom', 'udaan idsenii ur shim gsss hahhahaha', 'zda 10secunded iddgu bsimuu😢', 'Bi bur ygg minutin dotor idne xD', '10 jiliinhen 2minutas ilu baga hugtsand idnde xD', 'muisaa toloolod orchildo ahahaha', 'Bi tanid love', 'Etugnihen bas tsarailagch ymu hha']"
Wf-hFZiO6jw,"['Its like full pf racism', 'uu ter 3:03 ter bvr tatajyn3', '2:31 ene neeree ymar duu yumbe help guys', 'Part 2', '2:36 duunii ner?', 'Ymar nertei website gesen be?', 'Eee huure ter masktain bi shd hahahaha😂', '😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬', 'zail2', 'Хөөрхөн эдиттэй юм бэээ…🥰🥰…Илүү гоё олон хүмүүс ярьж бгааг оруулсан бол гоё бхгүй юу…Ямар хурдан дуусчихваа…']"
PtDMrFrSQsA,"['Yamr dalchignasan shalchignasan zaluu ve yostoi nuguu hud boy gedg shg kk', 'Tsendee ystoi huurhun bno😆😆😆', 'Goyeshdeeee ahaaa❤', 'Iimerhvv zaluug uuriihuu goy shv ntr gj bitgii huurgj bldaa pls', 'Uuriinhuuruu bs shudraga bga ni huurhunymoo❤', 'Vlog hiij ehelj bgaa ta buhen orood sonirhooroi bayrlalaa 😊', 'hahhha iim huuhed ch baigaagumdaaaaaa tsendee', 'Amjilt', 'Mal pisda we ywj uh', 'Iimerhu humuus yg unende eregteichuud bol zuer zl2 haayada chimeegui bj surlda']"
mx10t0MlyHM,[]
teF4t7_sE3Q,"['Huurhun hosuud bnaa. Az jargal husye😊', 'yamar huurhun hosuud ve', 'ene zaluu odo yuuu weee yoooo😂🤢🤮\U0001f979', 'bataa bol ugaasaa l huduu nershdee pzda', 'Emegtei n ymar togtworgui ym be. Hudlaa ineegeedl', 'Bataaguudiig yajiina sda hahaha', 'emegtein yaria arai sul bna', 'harin ch naizuud shig goy hosuud baina neelttei Goodluck👍🏻 bitgii negniihee togloomr sanaandgv helsn vg deer negnee muulj bai l da uursduu yst archaagvi ymaa...', 'Ymar t1 zaluu ve ger bul bolood bur huuhedtei yum bj neg l sonin handlagataiiiin', 'wish we could watch this together  11:11']"
eoXI4PSwEIA,"['thdee ymar muuhai bvdvvleg bna. zaluu tgj sh..dgvi bgaa shoo shiwshig2 😂 uuriigoo haraad jhn yum bodooroi 😅', 'ymr muuhai medremj awsan bol oo ghde ene ohin ugsa zaluugaas iluu hunleg blaa cute ohin be <3']"
aZgITEmtFAQ,"['энэ нэвтрүүлэгт яаж орох вэ?? нөхрөө аавтай нь оруулмаар байнаа аа ххэ', 'Ulaan tsamtstai eej so toxic 😳', 'bid hunii amidraliig shuuj social buliidej bga n bas ene 18tai ohinii setgeld ym hiij😢bna zuger l suraltsatsgaay gej urialii❤ gehdee etsest n bid ug heleh erh cholootei😅 erh choloo gedeg n busdad gai bolohgui biye daah hariutsla ym 🎉🙏🙏🙏', 'Ulaan tsamtstai anaigaas buur aichlaa', 'Hun bolgonii eej oor shvv end hunii eejiig muulahgui biig husey ta nart hunii eej muulj bichih erh bhgui shvv', 'Хүүхдийг хүмүүжүүлдэггүй юмаа. Хайрладаг юм!.', 'ulaan tsamtstai ohin ghdee ego yamar ihteinbee, iim goy zuulun eejte bj 😢', 'ewww ulaan tsamtstai eej ohin hoyriin hariltsaa ymar aimar ym be ohiniig n orowdoj baina.', 'ene bogino ustei ohin unen sad naasn ahahh uruvdulteinnn \namjilt hahah', 'Ene horwoogiin eej bvhen huurhun. Eej bvhen goe vrdee ahij haanaas ch oldohgui Amin hairtai gants erdene']"
-YuzTsEaxmc,"['hhahah', 'Ahahah😂😂']"
TDmn30Z5uWo,"['hahahaahaahha KEKW', 'Царай муутай юм байж ямар аймар голдийн', 'Tsarai muutai bj yuni aimar goldii', 'Gohin']"
